name,url,default_branch,stars
apache/dubbo,https://github.com/apache/dubbo,master,30931
apache/kafka,https://github.com/apache/kafka,trunk,14746
apache/skywalking,https://github.com/apache/skywalking,master,12129
apache/flink,https://github.com/apache/flink,master,11954
apache/rocketmq,https://github.com/apache/rocketmq,master,10127
apache/hadoop,https://github.com/apache/hadoop,trunk,10055
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere,dev,9729
apache/druid,https://github.com/apache/druid,master,9098
apache/zookeeper,https://github.com/apache/zookeeper,master,7593
apache/storm,https://github.com/apache/storm,master,5982
apache/cassandra,https://github.com/apache/cassandra,trunk,5704
apache/pulsar,https://github.com/apache/pulsar,master,4973
apache/zeppelin,https://github.com/apache/zeppelin,master,4542
apache/dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project,master,4212
apache/tomcat,https://github.com/apache/tomcat,master,4169
apache/jmeter,https://github.com/apache/jmeter,master,3793
apache/beam,https://github.com/apache/beam,master,3660
apache/groovy,https://github.com/apache/groovy,master,3547
apache/incubator-heron,https://github.com/apache/incubator-heron,master,3434
apache/incubator-dolphinscheduler,https://github.com/apache/incubator-dolphinscheduler,dev,3369
apache/hbase,https://github.com/apache/hbase,master,3335
apache/lucene-solr,https://github.com/apache/lucene-solr,master,3225
apache/camel,https://github.com/apache/camel,master,3065
apache/hive,https://github.com/apache/hive,master,2956
apache/ignite,https://github.com/apache/ignite,master,2955
apache/cordova-android,https://github.com/apache/cordova-android,master,2857
apache/shiro,https://github.com/apache/shiro,master,2822
apache/kylin,https://github.com/apache/kylin,master,2529
apache/rocketmq-externals,https://github.com/apache/rocketmq-externals,master,2453
apache/incubator-pinot,https://github.com/apache/incubator-pinot,master,2445
apache/dubbo-admin,https://github.com/apache/dubbo-admin,develop,2390
apache/nutch,https://github.com/apache/nutch,master,2030
apache/maven,https://github.com/apache/maven,master,1989
apache/curator,https://github.com/apache/curator,master,1962
apache/flume,https://github.com/apache/flume,trunk,1899
apache/nifi,https://github.com/apache/nifi,master,1872
apache/commons-lang,https://github.com/apache/commons-lang,master,1831
apache/mahout,https://github.com/apache/mahout,master,1768
apache/geode,https://github.com/apache/geode,develop,1707
apache/calcite,https://github.com/apache/calcite,master,1676
apache/incubator-gobblin,https://github.com/apache/incubator-gobblin,master,1675
apache/activemq,https://github.com/apache/activemq,master,1662
apache/servicecomb-pack,https://github.com/apache/servicecomb-pack,master,1639
apache/servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis,master,1524
apache/avro,https://github.com/apache/avro,master,1468
apache/drill,https://github.com/apache/drill,master,1334
apache/ambari,https://github.com/apache/ambari,trunk,1251
apache/netbeans,https://github.com/apache/netbeans,master,1243
apache/pdfbox,https://github.com/apache/pdfbox,trunk,1039
apache/tinkerpop,https://github.com/apache/tinkerpop,master,1020
apache/parquet-mr,https://github.com/apache/parquet-mr,master,997
apache/struts,https://github.com/apache/struts,master,992
apache/usergrid,https://github.com/apache/usergrid,master,975
apache/incubator-hudi,https://github.com/apache/incubator-hudi,master,946
apache/tika,https://github.com/apache/tika,master,942
apache/dubbo-samples,https://github.com/apache/dubbo-samples,master,938
apache/poi,https://github.com/apache/poi,trunk,903
apache/httpcomponents-client,https://github.com/apache/httpcomponents-client,master,898
apache/opennlp,https://github.com/apache/opennlp,master,886
apache/logging-log4j2,https://github.com/apache/logging-log4j2,master,877
apache/bookkeeper,https://github.com/apache/bookkeeper,master,870
apache/cloudstack,https://github.com/apache/cloudstack,master,826
apache/rocketmq-spring,https://github.com/apache/rocketmq-spring,master,809
apache/systemml,https://github.com/apache/systemml,master,794
apache/accumulo,https://github.com/apache/accumulo,master,777
apache/phoenix,https://github.com/apache/phoenix,master,751
apache/mina,https://github.com/apache/mina,trunk,729
apache/metron,https://github.com/apache/metron,master,716
apache/incubator-shardingsphere-example,https://github.com/apache/incubator-shardingsphere-example,dev,704
apache/log4j,https://github.com/apache/log4j,trunk,691
apache/ofbiz,https://github.com/apache/ofbiz,trunk,679
apache/sqoop,https://github.com/apache/sqoop,trunk,673
apache/commons-io,https://github.com/apache/commons-io,master,653
apache/aurora,https://github.com/apache/aurora,master,623
apache/parquet-format,https://github.com/apache/parquet-format,master,623
apache/cxf,https://github.com/apache/cxf,master,619
apache/samza,https://github.com/apache/samza,master,614
apache/jena,https://github.com/apache/jena,master,612
apache/incubator-datasketches-java,https://github.com/apache/incubator-datasketches-java,master,601
apache/pig,https://github.com/apache/pig,trunk,596
apache/guacamole-client,https://github.com/apache/guacamole-client,master,574
apache/griffin,https://github.com/apache/griffin,master,552
apache/activemq-artemis,https://github.com/apache/activemq-artemis,master,549
apache/oozie,https://github.com/apache/oozie,master,542
apache/giraph,https://github.com/apache/giraph,trunk,538
apache/freemarker,https://github.com/apache/freemarker,2.3-gae,528
apache/isis,https://github.com/apache/isis,master,516
apache/servicecomb-saga-actuator,https://github.com/apache/servicecomb-saga-actuator,master,506
apache/wicket,https://github.com/apache/wicket,master,502
apache/servicecomb-toolkit,https://github.com/apache/servicecomb-toolkit,master,485
apache/servicecomb-samples,https://github.com/apache/servicecomb-samples,master,483
apache/servicecomb-fence,https://github.com/apache/servicecomb-fence,master,473
apache/karaf,https://github.com/apache/karaf,master,454
apache/atlas,https://github.com/apache/atlas,master,447
apache/incubator-iotdb,https://github.com/apache/incubator-iotdb,master,447
apache/commons-collections,https://github.com/apache/commons-collections,master,400
apache/eagle,https://github.com/apache/eagle,master,389
apache/fineract,https://github.com/apache/fineract,develop,377
apache/james-project,https://github.com/apache/james-project,master,362
apache/struts-examples,https://github.com/apache/struts-examples,master,361
apache/apex-core,https://github.com/apache/apex-core,master,343
apache/bigtop,https://github.com/apache/bigtop,master,320
apache/ranger,https://github.com/apache/ranger,master,319
apache/tomee,https://github.com/apache/tomee,master,317
apache/incubator-iceberg,https://github.com/apache/incubator-iceberg,master,314
apache/commons-math,https://github.com/apache/commons-math,master,312
apache/commons-pool,https://github.com/apache/commons-pool,master,296
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak,trunk,291
apache/felix,https://github.com/apache/felix,trunk,275
apache/openmeetings,https://github.com/apache/openmeetings,master,269
apache/ant,https://github.com/apache/ant,master,260
apache/tez,https://github.com/apache/tez,master,254
apache/archiva,https://github.com/apache/archiva,master,250
apache/maven-surefire,https://github.com/apache/maven-surefire,master,249
apache/incubator-hivemall,https://github.com/apache/incubator-hivemall,master,248
apache/bahir-flink,https://github.com/apache/bahir-flink,master,247
apache/helix,https://github.com/apache/helix,master,241
apache/jackrabbit,https://github.com/apache/jackrabbit,trunk,241
apache/maven-plugins,https://github.com/apache/maven-plugins,trunk,240
apache/commons-codec,https://github.com/apache/commons-codec,master,238
apache/mina-sshd,https://github.com/apache/mina-sshd,master,236
apache/incubator-ratis,https://github.com/apache/incubator-ratis,master,226
apache/commons-dbutils,https://github.com/apache/commons-dbutils,master,226
apache/commons-dbcp,https://github.com/apache/commons-dbcp,master,219
apache/incubator-retired-gossip,https://github.com/apache/incubator-retired-gossip,master,218
apache/incubator-samoa,https://github.com/apache/incubator-samoa,master,217
apache/derby,https://github.com/apache/derby,trunk,204
apache/cayenne,https://github.com/apache/cayenne,master,202
apache/httpcomponents-core,https://github.com/apache/httpcomponents-core,master,199
apache/commons-imaging,https://github.com/apache/commons-imaging,master,194
apache/velocity-engine,https://github.com/apache/velocity-engine,trunk,194
apache/ofbiz-framework,https://github.com/apache/ofbiz-framework,trunk,187
apache/submarine,https://github.com/apache/submarine,master,184
apache/commons-csv,https://github.com/apache/commons-csv,master,183
apache/incubator-retired-edgent,https://github.com/apache/incubator-retired-edgent,develop,179
apache/commons-cli,https://github.com/apache/commons-cli,master,172
apache/dubbo-rpc-jsonrpc,https://github.com/apache/dubbo-rpc-jsonrpc,master,165
apache/asterixdb,https://github.com/apache/asterixdb,master,164
apache/commons-beanutils,https://github.com/apache/commons-beanutils,master,161
apache/plc4x,https://github.com/apache/plc4x,develop,158
apache/distributedlog,https://github.com/apache/distributedlog,master,154
apache/commons-text,https://github.com/apache/commons-text,master,154
apache/attic-stratos,https://github.com/apache/attic-stratos,master,153
apache/incubator-retired-wave,https://github.com/apache/incubator-retired-wave,master,152
apache/oltu,https://github.com/apache/oltu,trunk,152
apache/incubator-myriad,https://github.com/apache/incubator-myriad,master,149
apache/fluo,https://github.com/apache/fluo,master,144
apache/hadoop-common,https://github.com/apache/hadoop-common,trunk,144
apache/dubbo-proxy,https://github.com/apache/dubbo-proxy,master,143
apache/incubator-brooklyn,https://github.com/apache/incubator-brooklyn,master,141
apache/commons-compress,https://github.com/apache/commons-compress,master,138
apache/activemq-apollo,https://github.com/apache/activemq-apollo,trunk,136
apache/apex-malhar,https://github.com/apache/apex-malhar,master,132
apache/hama,https://github.com/apache/hama,master,127
apache/metamodel,https://github.com/apache/metamodel,master,126
apache/deltaspike,https://github.com/apache/deltaspike,master,124
apache/hadoop-hdfs,https://github.com/apache/hadoop-hdfs,trunk,122
apache/servicemix,https://github.com/apache/servicemix,master,121
apache/tajo,https://github.com/apache/tajo,master,121
apache/commons-fileupload,https://github.com/apache/commons-fileupload,master,119
apache/commons-net,https://github.com/apache/commons-net,master,116
apache/qpid,https://github.com/apache/qpid,trunk,114
apache/stanbol,https://github.com/apache/stanbol,trunk,113
apache/tomcat-maven-plugin,https://github.com/apache/tomcat-maven-plugin,trunk,113
apache/tomcat80,https://github.com/apache/tomcat80,trunk,109
apache/commons-validator,https://github.com/apache/commons-validator,master,108
apache/predictionio-sdk-java,https://github.com/apache/predictionio-sdk-java,develop,108
apache/incubator-streampipes,https://github.com/apache/incubator-streampipes,dev,105
apache/commons-bcel,https://github.com/apache/commons-bcel,master,104
apache/xmlgraphics-batik,https://github.com/apache/xmlgraphics-batik,trunk,104
apache/commons-vfs,https://github.com/apache/commons-vfs,master,103
apache/syncope,https://github.com/apache/syncope,master,102
apache/xmlgraphics-fop,https://github.com/apache/xmlgraphics-fop,trunk,101
apache/pulsar-manager,https://github.com/apache/pulsar-manager,master,100
apache/tiles,https://github.com/apache/tiles,trunk,99
apache/crunch,https://github.com/apache/crunch,master,98
apache/commons-configuration,https://github.com/apache/commons-configuration,master,97
apache/attic-whirr,https://github.com/apache/attic-whirr,trunk,96
apache/incubator-retired-htrace,https://github.com/apache/incubator-retired-htrace,master,95
apache/falcon,https://github.com/apache/falcon,master,95
apache/incubator-atlas,https://github.com/apache/incubator-atlas,master,95
apache/incubator-crail,https://github.com/apache/incubator-crail,master,94
apache/olingo-odata4,https://github.com/apache/olingo-odata4,master,94
apache/unomi,https://github.com/apache/unomi,master,94
apache/knox,https://github.com/apache/knox,master,92
apache/sentry,https://github.com/apache/sentry,master,91
apache/calcite-avatica,https://github.com/apache/calcite-avatica,master,89
apache/gora,https://github.com/apache/gora,master,89
apache/samza-hello-samza,https://github.com/apache/samza-hello-samza,master,88
apache/rya,https://github.com/apache/rya,master,88
apache/aries,https://github.com/apache/aries,trunk,87
apache/nifi-minifi,https://github.com/apache/nifi-minifi,master,87
apache/roller,https://github.com/apache/roller,master,87
apache/maven-archetype,https://github.com/apache/maven-archetype,master,84
apache/reef,https://github.com/apache/reef,master,84
apache/mnemonic,https://github.com/apache/mnemonic,master,84
apache/hadoop-mapreduce,https://github.com/apache/hadoop-mapreduce,trunk,83
apache/attic-polygene-java,https://github.com/apache/attic-polygene-java,master,83
apache/tapestry-5,https://github.com/apache/tapestry-5,master,82
apache/royale-compiler,https://github.com/apache/royale-compiler,develop,82
apache/joshua,https://github.com/apache/joshua,master,81
apache/commons-logging,https://github.com/apache/commons-logging,master,80
apache/incubator-datasketches-memory,https://github.com/apache/incubator-datasketches-memory,master,77
apache/httpasyncclient,https://github.com/apache/httpasyncclient,trunk,75
apache/openjpa,https://github.com/apache/openjpa,master,74
apache/incubator-retired-slider,https://github.com/apache/incubator-retired-slider,develop,74
apache/nifi-registry,https://github.com/apache/nifi-registry,master,71
apache/datafu,https://github.com/apache/datafu,master,71
apache/commons-email,https://github.com/apache/commons-email,master,71
apache/directory-kerby,https://github.com/apache/directory-kerby,trunk,70
apache/chukwa,https://github.com/apache/chukwa,master,70
apache/commons-jexl,https://github.com/apache/commons-jexl,master,68
apache/shindig,https://github.com/apache/shindig,trunk,66
apache/commons-jcs,https://github.com/apache/commons-jcs,master,65
apache/streams,https://github.com/apache/streams,master,65
apache/maven-scm,https://github.com/apache/maven-scm,master,65
apache/jclouds,https://github.com/apache/jclouds,master,65
apache/incubator-tubemq,https://github.com/apache/incubator-tubemq,master,64
apache/airavata,https://github.com/apache/airavata,master,64
apache/hbase-operator-tools,https://github.com/apache/hbase-operator-tools,master,63
apache/jspwiki,https://github.com/apache/jspwiki,master,63
apache/manifoldcf,https://github.com/apache/manifoldcf,trunk,62
apache/directory-server,https://github.com/apache/directory-server,master,62
apache/commons-crypto,https://github.com/apache/commons-crypto,master,62
apache/commons-exec,https://github.com/apache/commons-exec,master,61
apache/sis,https://github.com/apache/sis,master,61
apache/incubator-retired-pirk,https://github.com/apache/incubator-retired-pirk,master,60
apache/twill,https://github.com/apache/twill,master,60
apache/incubator-nemo,https://github.com/apache/incubator-nemo,master,58
apache/lens,https://github.com/apache/lens,master,57
apache/incubator-tez,https://github.com/apache/incubator-tez,master,57
apache/ctakes,https://github.com/apache/ctakes,trunk,57
apache/ftpserver,https://github.com/apache/ftpserver,trunk,56
apache/rocketmq-exporter,https://github.com/apache/rocketmq-exporter,master,56
apache/juneau,https://github.com/apache/juneau,master,56
apache/hcatalog,https://github.com/apache/hcatalog,trunk,56
apache/dubbo-kubernetes,https://github.com/apache/dubbo-kubernetes,master,55
apache/phoenix-omid,https://github.com/apache/phoenix-omid,master,54
apache/harmony,https://github.com/apache/harmony,trunk,53
apache/geode-examples,https://github.com/apache/geode-examples,master,52
apache/maven-release,https://github.com/apache/maven-release,master,52
apache/directmemory,https://github.com/apache/directmemory,trunk,52
apache/oodt,https://github.com/apache/oodt,master,51
apache/maven-compiler-plugin,https://github.com/apache/maven-compiler-plugin,master,51
apache/hadoop-ozone,https://github.com/apache/hadoop-ozone,master,49
apache/axis2-java,https://github.com/apache/axis2-java,trunk,49
apache/qpid-jms,https://github.com/apache/qpid-jms,master,49
apache/commons-ognl,https://github.com/apache/commons-ognl,master,48
apache/openwebbeans-meecrowave,https://github.com/apache/openwebbeans-meecrowave,master,47
apache/dubbo-sentinel-support,https://github.com/apache/dubbo-sentinel-support,master,47
apache/directory-studio,https://github.com/apache/directory-studio,master,46
apache/marmotta,https://github.com/apache/marmotta,master,44
apache/camel-quarkus,https://github.com/apache/camel-quarkus,master,44
apache/ode,https://github.com/apache/ode,master,44
apache/maven-indexer,https://github.com/apache/maven-indexer,master,44
apache/ant-ivy,https://github.com/apache/ant-ivy,master,43
apache/incubator-tamaya,https://github.com/apache/incubator-tamaya,master,43
apache/openwebbeans,https://github.com/apache/openwebbeans,master,42
apache/maven-enforcer,https://github.com/apache/maven-enforcer,master,42
apache/flink-playgrounds,https://github.com/apache/flink-playgrounds,master,40
apache/chemistry-opencmis,https://github.com/apache/chemistry-opencmis,trunk,40
apache/flex-blazeds,https://github.com/apache/flex-blazeds,master,39
apache/incubator-tuweni,https://github.com/apache/incubator-tuweni,master,39
apache/maven-shade-plugin,https://github.com/apache/maven-shade-plugin,master,39
apache/incubator-retired-s4,https://github.com/apache/incubator-retired-s4,piper,37
apache/attic-mrunit,https://github.com/apache/attic-mrunit,trunk,37
apache/myfaces,https://github.com/apache/myfaces,master,37
apache/odftoolkit,https://github.com/apache/odftoolkit,trunk,36
apache/cordova-plugin-compat,https://github.com/apache/cordova-plugin-compat,master,36
apache/incubator-sentry,https://github.com/apache/incubator-sentry,master,36
apache/clerezza,https://github.com/apache/clerezza,master,35
apache/servicemix-bundles,https://github.com/apache/servicemix-bundles,master,34
apache/incubator-retired-blur,https://github.com/apache/incubator-retired-blur,master,34
apache/predictionio-template-java-ecom-recommender,https://github.com/apache/predictionio-template-java-ecom-recommender,master,34
apache/karaf-cellar,https://github.com/apache/karaf-cellar,master,33
apache/uima-uimaj,https://github.com/apache/uima-uimaj,master,33
apache/olingo-odata2,https://github.com/apache/olingo-odata2,master,32
apache/johnzon,https://github.com/apache/johnzon,master,32
apache/freemarker-online-tester,https://github.com/apache/freemarker-online-tester,master,32
apache/commons-chain,https://github.com/apache/commons-chain,master,31
apache/maven-wagon,https://github.com/apache/maven-wagon,master,31
apache/sanselan,https://github.com/apache/sanselan,trunk,31
apache/maven-dependency-plugin,https://github.com/apache/maven-dependency-plugin,master,31
apache/xmlbeans,https://github.com/apache/xmlbeans,trunk,31
apache/sling-org-apache-sling-app-cms,https://github.com/apache/sling-org-apache-sling-app-cms,master,30
apache/uima-ruta,https://github.com/apache/uima-ruta,trunk,30
apache/opennlp-sandbox,https://github.com/apache/opennlp-sandbox,master,30
apache/incubator-retired-horn,https://github.com/apache/incubator-retired-horn,master,30
apache/synapse,https://github.com/apache/synapse,master,29
apache/james-mime4j,https://github.com/apache/james-mime4j,master,29
apache/maven-shared,https://github.com/apache/maven-shared,trunk,28
apache/incubator-datasketches-hive,https://github.com/apache/incubator-datasketches-hive,master,27
apache/velocity-tools,https://github.com/apache/velocity-tools,trunk,27
apache/maven-resolver,https://github.com/apache/maven-resolver,master,26
apache/geronimo,https://github.com/apache/geronimo,trunk,26
apache/commons-digester,https://github.com/apache/commons-digester,master,26
apache/ace,https://github.com/apache/ace,trunk,26
apache/phoenix-tephra,https://github.com/apache/phoenix-tephra,master,26
apache/commons-numbers,https://github.com/apache/commons-numbers,master,25
apache/cxf-dosgi,https://github.com/apache/cxf-dosgi,master,25
apache/incubator-dlab,https://github.com/apache/incubator-dlab,master,25
apache/qpid-broker-j,https://github.com/apache/qpid-broker-j,master,25
apache/bval,https://github.com/apache/bval,master,25
apache/maven-assembly-plugin,https://github.com/apache/maven-assembly-plugin,master,24
apache/accumulo-examples,https://github.com/apache/accumulo-examples,master,24
apache/brooklyn-server,https://github.com/apache/brooklyn-server,master,24
apache/directory-fortress-core,https://github.com/apache/directory-fortress-core,master,24
apache/commons-rdf,https://github.com/apache/commons-rdf,master,24
apache/dubbo-benchmark,https://github.com/apache/dubbo-benchmark,master,24
apache/jackrabbit-filevault,https://github.com/apache/jackrabbit-filevault,trunk,24
apache/maven-jlink-plugin,https://github.com/apache/maven-jlink-plugin,master,23
apache/santuario-java,https://github.com/apache/santuario-java,trunk,23
apache/incubator-tajo,https://github.com/apache/incubator-tajo,master,23
apache/empire-db,https://github.com/apache/empire-db,master,23
apache/uima-uimafit,https://github.com/apache/uima-uimafit,master,23
apache/xerces2-j,https://github.com/apache/xerces2-j,trunk,22
apache/tuscany-sca-2.x,https://github.com/apache/tuscany-sca-2.x,trunk,21
apache/sling-whiteboard,https://github.com/apache/sling-whiteboard,master,21
apache/pivot,https://github.com/apache/pivot,trunk,21
apache/maven-checkstyle-plugin,https://github.com/apache/maven-checkstyle-plugin,master,21
apache/portals-pluto,https://github.com/apache/portals-pluto,master,21
apache/camel-kafka-connector,https://github.com/apache/camel-kafka-connector,master,20
apache/commons-scxml,https://github.com/apache/commons-scxml,master,20
apache/struts1,https://github.com/apache/struts1,trunk,20
apache/maven-javadoc-plugin,https://github.com/apache/maven-javadoc-plugin,master,20
apache/maven-plugin-tools,https://github.com/apache/maven-plugin-tools,master,20
apache/qpid-proton-j,https://github.com/apache/qpid-proton-j,master,20
apache/cordova-amazon-fireos,https://github.com/apache/cordova-amazon-fireos,master,20
apache/xalan-j,https://github.com/apache/xalan-j,trunk,20
apache/commons-proxy,https://github.com/apache/commons-proxy,master,19
apache/servicemix4-bundles,https://github.com/apache/servicemix4-bundles,trunk,18
apache/attic-wink,https://github.com/apache/attic-wink,trunk,18
apache/incubator-taverna-language,https://github.com/apache/incubator-taverna-language,master,18
apache/dubbo-hessian-lite,https://github.com/apache/dubbo-hessian-lite,master,18
apache/vxquery,https://github.com/apache/vxquery,master,18
apache/commons-rng,https://github.com/apache/commons-rng,master,18
apache/maven-deploy-plugin,https://github.com/apache/maven-deploy-plugin,master,18
apache/james-hupa,https://github.com/apache/james-hupa,trunk,16
apache/maven-integration-testing,https://github.com/apache/maven-integration-testing,master,16
apache/axis1-java,https://github.com/apache/axis1-java,trunk,16
apache/dubbo-async-processor,https://github.com/apache/dubbo-async-processor,master,16
apache/maven-war-plugin,https://github.com/apache/maven-war-plugin,master,16
apache/lenya,https://github.com/apache/lenya,trunk,16
apache/maven-jar-plugin,https://github.com/apache/maven-jar-plugin,master,15
apache/cocoon,https://github.com/apache/cocoon,trunk,15
apache/abdera,https://github.com/apache/abdera,trunk,15
apache/james-jdkim,https://github.com/apache/james-jdkim,master,15
apache/ddlutils,https://github.com/apache/ddlutils,trunk,15
apache/maven-doxia,https://github.com/apache/maven-doxia,master,15
apache/sling-samples,https://github.com/apache/sling-samples,master,15
apache/incubator-retired-mrql,https://github.com/apache/incubator-retired-mrql,master,15
apache/activemq-protobuf,https://github.com/apache/activemq-protobuf,trunk,15
apache/logging-log4j-audit,https://github.com/apache/logging-log4j-audit,master,15
apache/cxf-fediz,https://github.com/apache/cxf-fediz,master,15
apache/fineract-cn-mobile,https://github.com/apache/fineract-cn-mobile,development,15
apache/asterixdb-hyracks,https://github.com/apache/asterixdb-hyracks,master,14
apache/servicemix4-features,https://github.com/apache/servicemix4-features,trunk,14
apache/etch,https://github.com/apache/etch,trunk,14
apache/geronimo-specs,https://github.com/apache/geronimo-specs,trunk,14
apache/commons-statistics,https://github.com/apache/commons-statistics,master,14
apache/incubator-weex-playground,https://github.com/apache/incubator-weex-playground,master,14
apache/attic-rave,https://github.com/apache/attic-rave,master,14
apache/netbeans-html4j,https://github.com/apache/netbeans-html4j,master,14
apache/rocketmq-ons,https://github.com/apache/rocketmq-ons,master,14
apache/commons-jxpath,https://github.com/apache/commons-jxpath,master,13
apache/maven-pmd-plugin,https://github.com/apache/maven-pmd-plugin,master,13
apache/maven-clean-plugin,https://github.com/apache/maven-clean-plugin,master,13
apache/directory-ldap-api,https://github.com/apache/directory-ldap-api,master,13
apache/log4j-extras,https://github.com/apache/log4j-extras,trunk,13
apache/incubator-retired-openaz,https://github.com/apache/incubator-retired-openaz,master,13
apache/incubator-taverna-mobile,https://github.com/apache/incubator-taverna-mobile,master,13
apache/dubbo-feature-test,https://github.com/apache/dubbo-feature-test,master,13
apache/fineract-cn-demo-server,https://github.com/apache/fineract-cn-demo-server,develop,13
apache/brooklyn-library,https://github.com/apache/brooklyn-library,master,12
apache/commons-bsf,https://github.com/apache/commons-bsf,master,12
apache/ambari-metrics,https://github.com/apache/ambari-metrics,master,12
apache/cassandra-sidecar,https://github.com/apache/cassandra-sidecar,master,12
apache/aries-jax-rs-whiteboard,https://github.com/apache/aries-jax-rs-whiteboard,master,12
apache/camel-k-runtime,https://github.com/apache/camel-k-runtime,master,12
apache/james-jspf,https://github.com/apache/james-jspf,master,12
apache/xmlgraphics-commons,https://github.com/apache/xmlgraphics-commons,trunk,12
apache/nifi-maven,https://github.com/apache/nifi-maven,master,12
apache/camel-spring-boot,https://github.com/apache/camel-spring-boot,master,12
apache/karaf-cave,https://github.com/apache/karaf-cave,master,12
apache/incubator-batchee,https://github.com/apache/incubator-batchee,master,12
apache/commons-functor,https://github.com/apache/commons-functor,master,11
apache/juddi,https://github.com/apache/juddi,master,11
apache/maven-2,https://github.com/apache/maven-2,maven-2.2.x,11
apache/jclouds-examples,https://github.com/apache/jclouds-examples,master,11
apache/incubator-sdap-mudrod,https://github.com/apache/incubator-sdap-mudrod,master,11
apache/directory-scimple,https://github.com/apache/directory-scimple,develop,11
apache/incubator-retired-edgent-samples,https://github.com/apache/incubator-retired-edgent-samples,develop,11
apache/geronimo-config,https://github.com/apache/geronimo-config,trunk,11
apache/metamodel-membrane,https://github.com/apache/metamodel-membrane,master,11
apache/incubator-taverna-engine,https://github.com/apache/incubator-taverna-engine,master,10
apache/sling-org-apache-sling-dynamic-include,https://github.com/apache/sling-org-apache-sling-dynamic-include,master,10
apache/ambari-logsearch,https://github.com/apache/ambari-logsearch,master,10
apache/maven-resources-plugin,https://github.com/apache/maven-resources-plugin,master,10
apache/mina-ftpserver,https://github.com/apache/mina-ftpserver,master,10
apache/river,https://github.com/apache/river,trunk,10
apache/maven-site-plugin,https://github.com/apache/maven-site-plugin,master,10
apache/maven-plugin-testing,https://github.com/apache/maven-plugin-testing,master,10
apache/directory-mavibot,https://github.com/apache/directory-mavibot,master,9
apache/aries-jpa,https://github.com/apache/aries-jpa,master,9
apache/brooklyn-docs,https://github.com/apache/brooklyn-docs,master,9
apache/cayenne-modeler,https://github.com/apache/cayenne-modeler,master,9
apache/commons-geometry,https://github.com/apache/commons-geometry,master,9
apache/openejb,https://github.com/apache/openejb,trunk,9
apache/aries-rsa,https://github.com/apache/aries-rsa,master,9
apache/sling-org-apache-sling-starter,https://github.com/apache/sling-org-apache-sling-starter,master,9
apache/cxf-xjc-utils,https://github.com/apache/cxf-xjc-utils,master,9
apache/accumulo-testing,https://github.com/apache/accumulo-testing,master,9
